title,year,movie_id,title_new,country,cast_IDs,cast_names,genres,rating,year_new,type
Healer,2014–15,4284216,Healer,kr,"3865611,2241337,5173233,1045682,1865805,0949167,1452588,1059108,0453605,0661930,1640274,7611358,1059154,3498542,1233816,7414945,5214744,2492472,0158838,3739244,7890339,1203299,1614353","Ji Chang-Wook,Park Min-Young,Tae-Mi,Jeong Gyu-Su,Woo Hee-Jin,Yoo Ji-Tae,Do Ji-Won,Oh Kwang-rok,Kim Mi-Kyung,Park Sang-Myeon,Park Sang-won,Jang Sung-Bum,Park Won-Sang,Jo Han-chul,Park Sang-wook,Son Seung-Won,Oh Jong-Hyuk,Kim Ri-na,Choi Jong-won,Ho-min Yeo,Hae-Kyun Jung,Mun-shik Lee,Hye-bin Jeon","Action,Comedy,Crime,Drama,Romance,Thriller",8.4,2014.0,tv series
Heard It Through the Grapevine,2015,4507456,Heard It Through the Grapevine,kr,"0950510,1162053,3241804,2163344,7655595,7191344,1486994,2607307,9665673,1255001,8713021,9367546,1233008,5553041,6934511,2197560,0453467,2604920,3035447,1235290,12588895,9668822,0417528,8675635","Joon-Sang Yoo,Ho-jeong Yu,Joon Lee,Ko Asung,Jeong Eu-Gene,Gong Seung-Yeon,Hyun-Sung Jang,So-young Park,Seo Jung-Yeon,Jang So-yeon,Ga-ram Jung,Yoon Bok-in,Kim Jeong-yeong,Kwon Kim,Ji-won Baek,Hae-yeon Kil,Ho-jung Kim,Hwa-ryong Lee,Jin-yeong Park,Hak-seon Kim,Baek Ji-Yeon,Jeong-do Heo,Ho-il Jang,Seok-Chan Jeon","Comedy,Drama,Romance",7.9,2015.0,tv series
Heart Surgeons,2018,8992866,Heart Surgeons,kr,"1714968,3851657,1981533,1452072,5872538,1065604,6479482,0014215,9048342,1255001,5553176,3797192,10076303,6617623,11728212,3692726,3675284,11801750,11806089,9461931,4388690,3294000,10914600,4535698,11401154,8671368,11830750,11833304,7035254,7950806,11804618,11810773,7658524,11809885,3591627,8119750,4271408,11802627,11810496,11805773,8906291,8690147,11621024,6008760,2341409,11802626,11802628","Go Soo,Ki-joon Uhm,Seo Ji-hye,Jae-won Lee,Choi Dae-hoon,Bo-seok Jeong,Dong-min Oh,Ahn Nae-sang,Kyung-hye Park,Jang So-yeon,Tae-boo Nam,Hee-tae Jeong,Yoo-Min Jung,Cha Soon-bae,Hyun-Suk Jung,Kim Ye-Won,Kwang-eop Son,Duk Hee Lee,Ye Won Kang,Doo-Gyum Jung,Nam Kyung-eub,Jo Jae-yoon,Yoo-Ri Chae,Jae-ryong Cho,Kang-hee Jung,Jin-ah Kang,Jin Sung Kim,Shi Young Lee,Hong Seo-jun,Rin-Ah Shin,Hyun Woo,Hye Young Ban,Kwon-soo Choi,Na Moo Choi,Joo Ho,Chan-Bi Jung,Yoo-mil Park,Hye Ji Han,Jin Ah Kim,Joo Ah Kim,Seo-ha Kim,Jaeun Koo,Ju Min-Chan,Kim Min-Suk,Yi-yeong Shim,Chang Gyu Song,Ye Na Yang",Drama,7.6,2018.0,tv series
Heart to Heart,2015,4342564,Heart to Heart,kr,"0158763,1194092,3014842,5668344,3289419,3049976,6314118,3746857,0423080","Kang-hee Choi,Jeong-myeong Cheon,Sohee,Jae-yoon Lee,Kim Gi-Bang,Eom Hyo-Seob,Seo Yi-Sook,Seung-eon Hwang,Hee-kyung Jin","Comedy,Romance",7.4,2015.0,tv series
Heartless City,2013,3089614,Heartless City,kr,"1973031,3512139,5668344,1066598,6973278,4198078,3797600,1366028,6956585,7009684,1040505","Jung Kyung-ho,Gyu-ri Nam,Jae-yoon Lee,Chang-min Son,Hyun-min Yoon,Se-Jung Kang,Su-Young Park,Kim Byeong-Ok,Jung-hak Kim,Min-Sang Kim,Kim Yu-Mi","Action,Crime,Drama,Romance",8.2,2013.0,tv series
Heartstrings,2011,2623064,You've Fallen for Me,kr,"4703437,2339975,3691431,1552017,6003243,4398937,3980263,2157523,1466288,0497629,5877764,6715912,6715913,0793782,1245109,3209606,6715915,1029669,1973031,1658947,0453693,6715914,7385660,6720288,6121265,6107823,7388259,4731230,2575243,7385214,7388260,1109708,7391362,5689101,7388261,1155573,4705535,7375283,6735649,7380506,7380507,6720287,7380508,3743703,7385757,7386920,3746868,7391363,6720289,6715917","Yong-hwa Jung,Park Shin-Hye,Chang-ui Song,Yi-hyeon So,Kang Min Hyuk,Na-Eun Go,Lee Hyun-Jin,Seo-won Jang,Seonwoo Jae-Deok,Jung-hun Lee,Im She-mi,Do-Yoon Im,Ji-hye Kwon,Goo Shin,Lee Il-Hwa,Moon Ga-young,Han Song-Yi Kim,Ju-bong Gi,Jung Kyung-ho,Kyung Ho Jung,Sun-kyung Kim,Keun-Hwa Kang,Moon-ui Jo,Dong-Kyu Jung,Bum Suk Seo,Bum-suk Seo,Jin-Hwan John,Jin-Hwan Son,Jin-wook Seo,Mi-ra Yook,Jin-ho Byun,Hae-gon Kim,Mi-seo Kwon,Hee-soon Son,Tae-Rang Kim,Jeong-eun Kim,Kang Chan-yang,Kang-ho Dan,Jun-ho Jang,Geong-mo Kim,Heon-jin Jo,Kim Han Song,Dong-hi Ju,Choo-wol Kim,Geon-ho Kim,Seon-Young Lee,Joon-hyeon Min,Han-na Choi,Hyun-Seok Jung,Jin-Ho Lee","Drama,Music,Romance",7.1,2011.0,tv series
Hell Is Other People,2019,10613844,Hell Is Other People,kr,"5289372,2089388,10463675,7553003,7270573,9242569,6106517,10825952,9918300,9106793,9025636,12168735,10825951,12280546,10825953,12146728","Si-wan Yim,Lee Dong-Wook,Rae-Hyung Cha,Lee Jeong-eun,Hyun-Wook Lee,Joong-ok Lee,Jong-hwan Park,Eun-Jin Ahn,Chanho Choi,Kim Han-Jong,Bong-sik Hyun,Su-Hyung Im,Ji-Eun Kim,Cheon-guk Park,Wook-Kyung Song,Kim Young-Sun","Crime,Horror,Mystery",7.9,2019.0,tv series
Hellbound,2021,12235718,Hellbound,kr,"2584860,3683989,3524780,1152065,9350849,5553036,6903064,8760655,3344655,12141029","Yoo Ah-in,Jeong Min Park,Chase Yi,Kim Hyun-joo,Jin-ah Won,Ryu Kyung-Soo,Re Lee,Do-yoon Kim,Ik-joon Yang,Shin-rok Kim","Crime,Drama,Fantasy,Horror,Mystery,Thriller",7.8,2021.0,tv series
Hello Franceska,2005–06,460364,Hello Franceska,,"2024644,0793536,1585573,0497197,1921551,1868836","Daniel Henney,Shim Hye-jin,Ryeowon Jung,Du-il Lee,Kyeon Lee,Seul-gi Park","Comedy,Fantasy,Musical",7.5,2005.0,tv series
Hello Monster,2015,4803738,Hello Monster,kr,"5364609,1339153,4623906,3754140,6019545,1950558,7414945,3628205,1117728,0510546,7640519,7275956,4388690,3628470,5077687,6811861,6765553,1045680","Seo In-Guk,Jang Na-ra,Park Bo-Gum,Choi Wonyoung,Jae-young Kim,Cheon-hee Lee,Son Seung-Won,Min Sung-wuk,Choi Deok-moon,Ji-Eun Lim,Hyun-Taek Hong,Eun-Taek Hong,Nam Kyung-eub,Shin Dong-mi,Lee El,Sin Jae-ha,Kyung-soo Do,Kwang-ryul Jun","Crime,Mystery,Romance,Thriller",7.8,2015.0,tv series
Hello My Teacher,2005,2401365,Hello My Teacher,kr,"1973925,1045839,5433872,1508003","Yeo-jin Choi,Kong Hyo-Jin,Da-hyun Kim,Gong Yoo","Drama,Romance",7.2,2005.0,tv series
"Hello, Me!",2021,13670090,"Hello, Me!",kr,"0158763,3609055,6903064,11320778,6094043,1040505,1049304,5866935,12329846,2412066,9256060,9367546,12168673,4398937,8755568,6772557,2291700,9371497,7440020,12332715,3069879,1507995,12329954,1059148,12110452,5877763,9106801,12351838,3498542,4901856,6562957,12332714,7950808,5312975,0423080,3245444","Kang-hee Choi,Kim Young-kwang,Re Lee,Eum Moon Suk,Seung-Hyeon Ji,Kim Yu-Mi,Yun Ju-sang,Dae-chul Choi,Kang Tae-Ju,Baek Hyun-joo,Yi-Rang Jung,Yoon Bok-in,Shin Moon-Sung,Na-Eun Go,Ki-ri Kim,Tae-Hwan Choi,Yong-rim Kim,Kim Mi-hwa,Kim Do-Yeon,Moon Sung-hyun,Sang-woo Kim,Byeong-chun Kim,Lee Seo-Yeon,Cheol-min Park,Jung Dae-Ro,Chae-mi Lee,Seung-Hoon Choi,Lee Gyu-Hyun,Jo Han-chul,Jung Dong-geun,Kyoung-Hoon Jo,Song Ji-Hyun,Jang Ki-Yong,Lee Soo-hyuk,Hee-kyung Jin,Ji-ae Jeon","Comedy,Fantasy,Romance",7.2,2021.0,tv series
Hello! Miss,2007,5145026,Hello! Miss,kr,"2151545,3673262,1574579,4819306,0661845,2291768,1127954,7682036","Lee Da-hae,Su-rin Choi,Park Soon Chun,Hyeon-Ho Heo,In-hwan Park,Ha Seok-jin,Woon-gye Yeo,Mi-Ju Yeon","Comedy,Romance",6.3,2007.0,tv series
"Hello, My Twenties!",2016–17,5858892,Age of Youth,kr,"3680658,4172473,3738785,7173699,7094545,5565766,12141798,9273766,7414945,8264601,6008760,8981756,5508950,8556873,7052088,12168777,1119103,3738748,11661963,7834282,7963683","Yeri Han,Seung-Yeon Han,Eun-bin Park,Hwa-young Ryu,Bak Yoon,Ji Woo,Kong Sang-Ah,Ara Choi,Son Seung-Won,Hye-soo Park,Kim Min-Suk,Lee You-Jin,Il-Joo Ji,Hyun-soo Shin,Daniel Joey Albright,Lee Ji-Ha,Suk Mun,Moon-cheol Nam,Seo Ye-hwa,Hye-ran Ji,Ahn Woo-yeon","Comedy,Drama,Romance",8.3,2016.0,tv series
Her Private Life,2019,9899340,Her Private Life,kr,"8003645,4468489,2495191,9378473,10300574,0453605,3291839,2241337,8853854,1241993,11661963,8266210,1868836","Ahn Bo-Hyun,Park Jin-Joo,Bo-ra Kim,Jung Je-Won,Won-Chang Jung,Kim Mi-Kyung,Kim Jae-Wook,Park Min-Young,Seo-Young Hong,Park Myung-shin,Seo Ye-hwa,Amy Aleha,Seul-gi Park","Comedy,Romance",7.7,2019.0,tv series
Here Comes Mr. Oh,2012–13,5618336,Here Comes Mr. Oh,kr,"5398544,4696551,1530178,1059413,1065585,0230714,1564197,1903390,3773592,1087637,1548540,8058209,1563289,1065406,1357269,1136736,8058208,2953322,6903064,2500930","Lee Jang-woo,Yeon-Seo Oh,Tae-Hyun Jin,Hyeon-jin Seo,Mi-hee Chang,Young Jae Dok-Go,Kim Hye-Ok,Hwi-Hyang Lee,Dam Ryu,Kim Young-ok,Mi-ryeong Cho,Hyun-seo Choi,Min Choi,Jin-hie Han,Chan Jung,Yong-woo Kil,Jung-Do Kim,Min-soo Kim,Re Lee,Ho-rin Yoo","Drama,Romance",,2012.0,tv series
Here's My Plan,2021,14461244,Here's My Plan,kr,"6007240,1059346,10679329,4776658,0498488,3474487,11512144,12606944,12043829,12485783,12607130,12607067,2726270,12174956","Hwan-hee Kim,Soo-young Ryu,Do-Hoon Kim,Jin Hee Lee,Yeong-jin Lee,Seung-tae Park,Lee Shi-Woo,Park So-Jeong,Kim Yi-Kyeong,Choi Yi-Sun,Kim Yeo-Na,Park Gyu-Bin,Young-Sun Kim,Im Sung-jae","Drama,Romance",7.3,2021.0,tv mini series
"Hi Bye, Mama!",2020,11804034,"Hi Bye, Mama!",kr,"1454896,6914446,8674673,11512143,3628470,7553002,9468150,0453605,1419430,10893903,11512147,0014215,3797600,11512144,10039461,10933572,7553003,11596561,12168777,9242569,12378806,11572716,5682738,0497398,11751940,3746222,11803730","Kim Tae-hee,Kyoo-hyung Lee,Ko Bo-Gyeol,Seo Woo-Jin,Shin Dong-mi,Oh Eui-Sik,Sa-Bong Yoon,Kim Mi-Kyung,Hyo-jeong Ban,Bae Hae-Sun,Kim Mi-Soo,Ahn Nae-sang,Su-Young Park,Lee Shi-Woo,Soo-Yun Shin,Yang Kyung-won,Lee Jeong-eun,Ahn Soo-bin,Lee Ji-Ha,Joong-ok Lee,Kim Dae-Gon,Lee Ho-jung,Seul-gi Kim,Ho-jae Lee,Kang Ro-chae,Jeong-seon Seong,Kim Yeon-Ung","Comedy,Drama,Fantasy",8.0,2020.0,tv series
Hi! School: Love On,2014,4119504,Hai seukool,kr,"9945930,3673262,2920466,4213943,1342813,6843142,6843141,3393343","Jeong-geun Park,Su-rin Choi,Yeon Woo Jo,Chang-joo Lee,Joo-sil Lee,Sung-yeol Lee,Woo-hyun Nam,Kim Sae-ron","Drama,Fantasy,Romance",7.3,2014.0,tv series
Hidden Identity,2015,4780416,Hidden Identity,kr,"3316961,3663864,1587774,1165906,2161516,3702737","Kim Bum,Park Sung-woong,So-yi Yoon,Won-jong Lee,Hyun-sung Lim,Kim Tae-hoon","Action,Thriller",6.9,2015.0,tv series
Hide and Seek,2018,8769302,Hide and Seek,kr,"1642097,3691431,3875920,1018275,8003645,1548540,8039038,1067170,1079857,6057088","Yu-ri Lee,Chang-ui Song,Hyun-kyung Uhm,Kim Young-min,Ahn Bo-Hyun,Mi-ryeong Cho,Hye-sun Jung,Jong-Won Lee,Yong-nyeo Lee,Da-kyung Yoon",Drama,7.0,2018.0,tv series
High Class,2021,14596714,High Class,kr,"1856097,1790874,12549276,4928306,1279940,11042830,5025494","Yeo-jeong Cho,Kim Ji-Soo,Lee Chae-Min,Gong Hyun Joo,Yeong-jae Kim,Se-jin Park,Ha-Joon Song","Drama,Mystery",7.6,2021.0,tv series
High End Crush,2015–16,6096696,High-End Crush,kr,"3015991,4538336,7609262,1868836,7609313,8468703,1085678,1973031,4589016,8468704,5947788,1048201,8468705,3815800","Il-Woo Jung,Se-Yeon Jin,Hyun-Woo Park,Seul-gi Park,Se-ha Ahn,Hyun-Shik Jo,Sang-Hoon Jung,Jung Kyung-ho,Se-yoon Moon,Soo-bin Park,Lee Si-eon,Kim So-yeon,Monsta X,Bo-ra Yoon","Comedy,Romance",7.3,2015.0,tv series
High Kick!,2006–07,2309828,High Kick!,kr,"11432745,11437804,11432965,11435339,11435182,11435183,11437509,11435337,11435340,9831552,11435338,11432754,11435181,1066913,1058814,1870163,3015991,0618520,1642009,3852933,3876414,2133666,5062189,3316961,3723581,4062328,4548586,3472327,1759785,0014215,3675628,1917619,9268396,5205458,2241337,4855119,5201371,2824112,5479345,11432744,1651494,4276694,3806917,2987479,2083052,1065604,5204923,1141765,5203332,1040396","Tran Vu,Huyen Chi,Hanh Phuc,Ngo Minh Triet,Quoc Tin,Hoang Son,Kiem Tien,Le Ha,Minh Chuyen,Tien Dat,Ta Ba Nghi,Tri Luan,Ngoc Chau,Yu-seon Yun,Soon-jae Lee,Hye-sung Kim,Il-Woo Jung,Moon-hee Na,Jun-ha Jeong,Park Hae-mi,Min-yong Choi,Min-jung Seo,Shin Ji,Kim Bum,Soon-chang Hong,Lee Jong-Suk,Kim Ji-Won,Krystal Jung,Yoon Kyesang,Ahn Nae-sang,Jin-hee Baek,Ji-Seok Seo,Park Ha-Sun,Julien Kang,Park Min-Young,Hwang Chan-sung,Yum Seung-Hyun,Su-na Lee,Yoon Seo Hyun,Minh Vu,Shin Se-Kyung,Yoon Shi-Yoon,Daniel Choi,Ji-hee Jin,Shin-ae Seo,Bo-seok Jeong,Hyun-Kyung Oh,Ja-ok Kim,Jung Sun Woo,Seok-yong Jeong",Comedy,8.4,2006.0,tv series
High School King of Savvy,2014,3798374,High School King of Savvy,kr,"5364609,1732519,7412707,6940577,5312975,6563435,1059108","Seo In-Guk,Lee Hana,Kang Ki-Young,Lee Tae-Hwan,Lee Soo-hyuk,Yul-Eum Lee,Oh Kwang-rok","Comedy,Romance",7.2,2014.0,tv series
High Society,2015,4768948,High Society,kr,"3743319,4726705,6027947,4253077,0051906,1049304,1085809,2233929,3789072,0945994,4933438,0950912,7052088","Kim You-Jin,Sung Jun,Park Hyung-Sik,Ji-Yeon Lim,Eun-hee Bang,Yun Ju-sang,Du-shim Ko,Sang-woo Lee,Myung-Ryul Nam,Hee-kyung Yang,So-young Yoo,Ji-hye Yun,Daniel Joey Albright","Drama,Romance",6.8,2015.0,tv series
History of a Salaryman,2012,2509300,History of the Salaryman,kr,"1045934,1585573,3692524,1045584,1371115,1037141,1065825,1486994,1255246,3701137","Beom-su Lee,Ryeowon Jung,Gyu-Woon Jung,Soo-Hyun Hong,Kim Seo-hyeong,Lee Gi-yeong,Lee Deok-hwa,Hyun-Sung Jang,Eung-soo Kim,Kim Sung-oh",Drama,7.7,2012.0,tv series
Hit the Top,2017,6889072,The Best Hit,kr,"1028580,7346685,1564219,4276694,1033743,1065825,10336756,8258018,1218638,4299091","Tae-Hyun Cha,Min-Jae Kim,Se-yeong Lee,Yoon Shi-Yoon,Yoon Son Ha,Lee Deok-hwa,Julia Lim,Cha Eun-Woo,Kyeong-min Hong,Kwang-Soo Lee","Comedy,Fantasy",7.3,2017.0,tv series
Hogu's Love,2015,4467778,Ho Goo's Love,kr,"3743319,6079248,7441315,3932985,2892548,1574579,1117728,1040397,5947788","Kim You-Jin,Woo-sik Choi,Soo-kyung Lee,Seul-ong Im,Jae-Hwan Choi,Park Soon Chun,Choi Deok-moon,Won-joong Jung,Lee Si-eon","Comedy,Romance",7.5,2015.0,tv series
Hold Me Tight,2018,8067818,Let's Look at the Sunset Holding Hands,kr,"1626041,1770593,2341244,3702737,7052088,9063815","Hye-jin Han,Yoo In-young,Yoon Sang-Hyun,Kim Tae-hoon,Daniel Joey Albright,Jason Nelson",Drama,4.4,2018.0,tv series
Hold My Hand,2013–14,5614978,Hold My Hand,kr,"8055082,4639213,1530178,5433623,3759348,1109255,2442175,8055085,4276007,11238944,8055088,8055090,8055087,3829541,3775646,7561699,3823115,8055086,8055089,0025548","Shi-eun Park,Jae-Hwang Lee,Tae-Hyun Jin,Geu-rin Bae,Sang-hun Choi,Bo-ra Geum,Yeo-woon Han,Young-ran Kim,Chang Wook Lee,Jeong-Sook Park,Jung-Hwa Choi,Heung-Seok Jeong,Whee-Joon Jo,Dong-gyun Kim,Hyo-Seon Kim,Kyeong-nam Kim,Joo-seok Lee,Woo-ki Min,Dong-hyun Seo,Ahn Suk-hwan",Drama,,2013.0,tv series
Home for Summer,2019,10160560,Home for Summer,kr,"8117846,8044331,3246679,1617772,8119758,10213583,1087162,8755568,3014911,1065711,0497362,8119773,2590448,2579891,6994661","Yee-Yeon Jung,Sa-Kwon Kim,Chae-yeong Lee,Young-eun Lee,Sun-Woo Yoon,Kim Hye-Ok,Seok-woo Kang,Ki-ri Kim,San-ho Kim,Ye-ryeong Kim,Han-wi Lee,Chae-Won Lim,Hee-kyung Moon,Hye-mi Na,Woohee",Drama,7.1,2019.0,tv series
Hometown,2021,14687370,Hometown,kr,"3725226,7691811,3680658,6903064,4770367,7109993,9513237,1276942,12332714,12967656,8471378,12967657","Tae-goo Eom,Yoo Jae-myung,Yeri Han,Re Lee,Sae-byeok Kim,Bok-rae Jo,Eun-Jung Heo,Mi-hyeon Park,Song Ji-Hyun,Kim Ye Eun,Park Si-Yeon,Kim Shin Bi","Horror,Mystery,Thriller",6.8,2021.0,tv series
Hometown Cha-Cha-Cha,2021,14518756,Hometown Cha-Cha-Cha,kr,"1086555,9170918,6771505,1087637,3498542,11421137,12876204,12058317,3797742,9948498,12566524,4788404,12876202,12876200,12262939,11529513,3208555,12876201,11966332,12115963,3295014,0793811,0498489,11072055,4776658,6045794,7553003,0359257,3726277,10893903,11560328,12925020,11432372,12205499,12081150,0497398,11145749,12924669,12892429,3831873,12529172,7711352","Shin Min-a,Kim Seon-Ho,Lee Bong-ryun,Kim Young-ok,Jo Han-chul,Min-Jung Gong,Go Do Yeon,Ki Eun-Yoo,Cha Cheong-hwa,Sang-yi Lee,Park Jae-Joon,Jin Yong-wook,Park Ye Young,Baek Seung,Lee Suk-Hyeong,Kang Hyoung-suk,Gyo-jin In,Yoon Seok Hyun,Kim Joo-Yeon,Kim Min-Seo,Sung-bum Kim,Sin-ae Shin,Yeong-ih Lee,Hye-Yeon Shim,Jin Hee Lee,Sang-won Seo,Lee Jeong-eun,Ren Hanami,Ji-hee Hong,Bae Hae-Sun,Bae Bo-ram,Byeon Sung-Tae,Lee Si-hoon,Woo Mi-Hwa,Song Min-Jae,Ho-jae Lee,Ryu Ye-ri,Hong In-Ah,Yoon Dan-bi,Sung-mi Lim,Min Jung-Sup,Chan-guk Park","Comedy,Romance",8.7,2021.0,tv series
Hong Gil-dong,2008,2511504,"Hong Gil Dong, the Hero",kr,"2196022,1587225,1658941,5391405,1194109,2947541,3877455,5391825,2492472,1233816","Ji-Hwan Kang,Yu-ri Sung,Keun-Suk Jang,Hyun Jung Cha,Ran Choi,Su-han Choi,Jae-seung Kim,In Sung Lee,Kim Ri-na,Park Sang-wook","Action,Comedy,Drama,Romance",7.5,2008.0,tv series
Hong Kong Express,2005,448218,Hong Kong Express,ca,"7155579,0161198,2351640,0498350","Deborah Moore,Christy Chung,Linda Chung,Theresa Lee",Documentary,,2005.0,tv movie
Hospital Playlist,2020–21,11769304,Hospital Playlist,kr,"4983186,1881661,1973031,6311824,11343491,4313142,11314176,10825952,7901826,6916718,1390122,0453448,11437019,11588218,4811251,10910694,9992506,9721970,9241185,9665725,2590448,1426961,11775614,9665581,12135811,7740879,1753862,12671674,11513824,6677648,11816063,11873513,6975783,3883518,11881416,12722894,4365014,2270541,12330404,6044719,7455269,12168777,8257423,5292621,12262818,11852158,11772005,12722895,12694657,12722878","Jo Jung-Suk,Yoo Yeon-Seok,Jung Kyung-ho,Dae-Myung Kim,Jeon Mi Do,Shin Hyon Bin,Tae-yu Moon,Eun-Jin Ahn,Moon-Sung Jung,Yoon-kyeong Ha,Kim Hae-sook,Kim Kap-su,Bae Hyun-Sung,Kim Joon,Kim Kang Min,Yi-Hyun Cho,Sun-Young Kwak,Soo-jin Kim,Jun-han Kim,Shin Do-Huyn,Hee-kyung Moon,Seung-yeon Jo,Choi Young-joon,Han-Sol Park,Lee Chan-Hyeong,Ji Seong Kim,Dong-il Sung,Hong Suk-Bin,Lee Soo-Mi,Park Hyoung-soo,Lee Se-Hee,Park Ji-Yeon,Bo-Bi Joo,Eun-joo Lee,Lee Noh-Ah,Lee Ji-Hyun,Kim Bi-bi,Go Ara,Kim Kyeong-min,Min-sung Jung,Yi-An Ha,Lee Ji-Ha,Hye-In Kim,Jo-a Yang,Park Se-Jin,Choi Young-Woo,Ahn Si-Ha,Koh Na-Young,Lee Hye-Eun,Seol Yu-Jin","Comedy,Drama",8.8,2020.0,tv series
Hospital Ship,2017,7074992,Hospital Ship,kr,"0351710,1158620,2157523,1559446,3514551,3718826,1040397,9220175,2410400,6407698,0497362,8696754,6105039,6003243","Ha Ji-Won,Hwa-yeon Cha,Seo-won Jang,In-gi Jeong,Park Joon-geum,Kyung Soon Jung,Won-joong Jung,In-sik Kim,Kim Kwang-gyu,Mina Kwon,Han-wi Lee,Seo-won Lee,Ji-won Wang,Kang Min Hyuk",Romance,6.4,2017.0,tv series
Hot Blood,2009,5120680,Hot Blood,kr,"2898565,1333445,1058088,1055621,3738640,3672108,3753866,1169822,2437361,1464070,0158838,0453588,1191894,1165906,1138201,1520129","Soo-Yeon Cha,Jeong-an Chae,Cheol-ho Choi,Jung Dong-hwan,Park Hae-Jin,Ye-won Han,Tae-seong Jang,Yeong-suk Jeong,Cho Jin-woong,Yun-hie Jo,Choi Jong-won,Kyu-chul Kim,Jae-yong Lee,Won-jong Lee,Jae-ho Song,Lee Sung-min",Drama,6.7,2009.0,tv series
Hot Stove League,2019–20,11378124,Stove League,kr,"1224530,3738785,2442113,9525210,5526263,8692322,1627866,5601908,3606690,4811251,8052257,9721970,8966708,9086204,11037388,11174365,5903106,11174364,1060442,3775811,1641063,0453553,7009684,1139514,7940302,3675284,8119758,3796133,9862833","Min Namkoong,Eun-bin Park,Oh Jeong-Se,Byeong-gyu Jo,Yoon Byung-hee,Kim Do-Hyun,Park Jin-Woo,Son Jong-hak,Lee Joon-hyuk,Kim Kang Min,Kim Ki-moo,Soo-jin Kim,Sam Bass,Jack Lyons,John D. Michaels,Do-Kwon Ha,Young-kyu Song,Jong-Hyeop Chae,Lee Eol,Kijoon Hong,Han Sun Jo,Jeong-hwa Kim,Min-Sang Kim,Dae-yeon Lee,Park So-jin,Kwang-eop Son,Sun-Woo Yoon,Cha Yub,Andrea Elizabeth Sikkink","Drama,Sport",8.4,2019.0,tv series
Hotel del Luna,2019,10220588,Hotel Del Luna,kr,"3889963,2082531,3083982,10893903,6738265,6314118,9946376,9301502,9174152,8556925,9368393,10300573,3752295,11596561,11854308,1055621,0644885,8953986,4704907,4306654,3787759,6524391,4468489,3016345,9009366,6491760,4633543,8468703,1763620,3797742,3482745,5947788,7035254,10711076,12146728,11416233,8899286,11750450,8027008,11846197","Ji-eun Lee,Yeo Jin-gu,Shin Jeong-geun,Bae Hae-Sun,Ji-Hoon Pyo,Seo Yi-Sook,Lee Do-Hyun,Hyun-Chul Cho,Mi-na Kang,Tae-sun Lee,Kang Hong-Seok,Yoo-na Park,Lee Da-wit,Ahn Soo-bin,Seo Yi-Soo,Jung Dong-hwan,Ji-Ho Oh,Kang-Hoon Kim,Nam Da-reum,Hyeok-soo Kwon,Kim Won-Hae,Yi-Kyeong Lee,Park Jin-Joo,Sulli Choi,Eun-Su Seo,Hwang Young-Hee,Kim Soo-hyun,Hyun-Shik Jo,Lee Joon-Gi,Cha Cheong-hwa,Seung-Joon Lee,Lee Si-eon,Hong Seo-jun,Lee Hyun Kyun,Kim Young-Sun,Kim Mi-Kyung,Jun Hyun Kim,Jang Hae-Song,Hee-Jung So,Yang Hee-Won","Drama,Fantasy,Horror,Mystery,Romance",8.2,2019.0,tv series
Hotel King,2014,3737080,Hotel King,kr,"2151545,2089388,7175731,4946319,1065825,3743173,4889211,1390122,3932985,5508950,1530178,4928306,4656820,1059148,9113246,10222920,6728658,3756266,3692726,10222700,9153822,4946490,4788790","Lee Da-hae,Lee Dong-Wook,Hak-Yeon Cha,Alex Chu,Lee Deok-hwa,Bon-im Goo,Kim Gyu-Sun,Kim Hae-sook,Seul-ong Im,Il-Joo Ji,Tae-Hyun Jin,Gong Hyun Joo,Sun-hyuk Kim,Cheol-min Park,Yi-An Seo,Yoon Ah Seo,Kim Sun-young,Ji-hye Wang,Kim Ye-Won,Jung Suk Yong,Go Yoon,Lee Joo-yeon,Sang-hoon Choi","Drama,Romance",7.2,2014.0,tv series
Hotelier,2001,431528,Hotelier,kr,"1032826,3748910,1422362,1065406,0401135,1046845,0432550,0453670,2359379","Song Yun-ah,Hwa-jeong Choi,Yong-jun Bae,Jin-hie Han,Joon-ho Huh,Song Hye-Kyo,Jun-ho Jeong,Seung-woo Kim,Steve Myung",Romance,7.5,2001.0,tv series
House of Bluebird,2015,4602964,Bluebird's House,kr,"3789806,6914447,3096062,5813321,0158860,1141657,0405062,3875920,0814289,1040397","Lee Joon-hyuk,Chae Soo-bin,Lee Sang-Yeob,Soo-jin Kyung,Myeong-Gil Choi,Ho-jin Chun,Hye-suk Lee,Hyun-kyung Uhm,Song Wok-suk,Won-joong Jung","Comedy,Drama,Romance",7.1,2015.0,tv series
How Are U Bread,2020,6212852,How Are You Bread,kr,"6034289,7989379,1564219,1593517","So Young Han,Jun-Myon Kim,Se-yeong Lee,Ji-yoon Moon","Fantasy,Romance",7.7,2020.0,tv mini series
How to Be Thirty,2021,14023304,Not Yet Thirty,kr,"1696090,6003243,3768644,7745728,7745799,12307165,9657919,12491632,11516494,7995978","In-sun Jung,Kang Min Hyuk,Jae-rim Song,Min Ji,Hee-Yeon Ahn,Baek Sung-Chul,Ji-sung Kim,Chae-won Lee,Kwon Dong-ho,Lee Kang-Min","Comedy,Romance",5.9,2021.0,tv series
