title,year,movie_id,title_new,country,cast_IDs,cast_names,genres,rating,year_new,type
On the Verge of Insanity,2021,14408332,On the Verge of Insanity,kr,"0600668,1045684,3096062,4710582,8379701,4349401,12597758,12714032,11972951,0014215,1553194,1563971,1059154,12552553,3797742,1117728,12684044,12714112,7109993,10222964,3774004,7996229,12714054,12714053,0158860,11612090,7343804,11153470","Moon So-ri,Jae-yeong Jeong,Lee Sang-Yeob,Kim Ga-eun,Min-Hyun Baek,Hyeon-bae Dong,Lim Hyun-soo,Kang Joo-Sang,Kim Joong-Ki,Ahn Nae-sang,Neung-mi Nam,Yong Oh,Park Won-Sang,Jung Ye-Na,Cha Cheong-hwa,Choi Deok-moon,Cheon Hee-joo,Kim Jin-Ho,Bok-rae Jo,Yoon-seo Kim,Yo-sep Song,Park Sung-Geun,Choi Yoon-Jung,Chun Young-Hoon,Myeong-Gil Choi,Lim Il-Gyu,Seo-Joon Lee,Kim Nam-Hee","Comedy,Drama",7.9,2021.0,tv series
On the Way to the Airport,2016,6013404,On the Way to the Airport,kr,"6327190,3718915,1973925,3011121,2319677,7144013,6007240,3703273,5963926,1208172","Ha-neul Kim,Sang-yoon Lee,Yeo-jin Choi,Seong-rok Sin,Jang Hie-jin,Park Seo-yeon,Hwan-hee Kim,Song-hyeon Choi,Jay Kim,Yeong-ran Lee","Drama,Romance",7.5,2016.0,tv series
Once Again,2020,12182904,Once Again,kr,"2601709,1141657,1158620,3096062,1954290,3333611,7254991,7553003,6934511,0453373","Lee Min-Jung,Ho-jin Chun,Hwa-yeon Cha,Lee Sang-Yeob,Yun-a Oh,Dae-hwan Oh,Cho-hee Lee,Lee Jeong-eun,Ji-won Baek,Bo-yeon Kim","Comedy,Drama,Romance",8.4,2020.0,tv series
One Fine Day,2006,1504547,One Fine Day,kr,"1654495,1055621,8616531,1035593,1688117,2165232,1224530,1587225,1560675,1508003,3599307,8616530,1664156,2167178,3599718","Yeon-hong Ahn,Jung Dong-hwan,Lee Yeon Hee,Seong-jin Kang,Ki-yeol Lee,Yeon-hee Lee,Min Namkoong,Yu-ri Sung,Eun-Sook Sunwoo,Gong Yoo,Ha-Joon Yoo,Sung Yuri,Marc Kay,Ji-hee Suh,Hyeon-woo Yang","Drama,Romance",6.6,2006.0,tv mini series
One Mom and Three Dads,2008,2659290,One Mom and Three Dads,kr,"1030819,1450227,3212895,2360984,3832226,3673895,5338669,1951983,2309978,3751026,1315447,2341244,3011121,0945994,1865097","Hee Jae,Hyeon-jae Jo,Sang-uk Joo,So-Min Jun,Bin-wu Kim,Jin-tae Kim,Ki Hyun Kim,Yoo-jin Kim,Hee-do Lee,Sa-rang Park,Yong-cheol Park,Yoon Sang-Hyun,Seong-rok Sin,Hee-kyung Yang,Jang Young-Nam",Romance,7.2,2008.0,tv series
One More Happy Ending,2016,5445338,One More Happy Ending,kr,"1339153,1973031,6246094,3015817,2359794,3739013,3702737,4533724,3242530,5690165,8044328,8044329,3483035,8044330,2024084,8044331,8044332,6974482,1720133,3514756,7658524,1117728,8044333,1617772,8044335,7945179,0005277,7414520,3876212,2442113,8044334,3663953,7676538,7244031,8044337,3674078,8044336,5787710,1048201","Jang Na-ra,Jung Kyung-ho,In-Young Seo,Kwon Yul,Da-in Yoo,Yoo In-Na,Kim Tae-hoon,Sun-Hee Hwang,Go Gyu-pil,Dan-Yool Kim,Eun-Seok Park,Se-yun Moon,Chae-eun Lee,Joon-hee Song,Min-Joon Kim,Sa-Kwon Kim,Ahn Hyo-Seop,Dong-ha Lee,Sandara Park,Ga Won,Kwon-soo Choi,Choi Deok-moon,Joon-yoo Jang,Young-eun Lee,Baek Bong-ki,Ji-an Kim,Conan O'Brien,Son San,Kim Hyo-seo,Oh Jeong-Se,Ki-joo Jin,Ha-Kyun Kim,Ji-hye Kwak,Si-Yang Kwak,Soo-ji Lee,Yeon-du Lee,Han-Gyeol Seo,Hyun-chul Seo,Kim So-yeon","Comedy,Romance",7.3,2016.0,tv series
One Ordinary Day,2021,14170016,One Ordinary Day,kr,"4633543,0149226","Kim Soo-hyun,Seung-Won Cha","Crime,Mystery",,2021.0,tv series
One Spring Night,2019,10192576,One Spring Night,kr,"6857187,1617711,9241185,7455269,3237628,1856185,10623873,1092384,2197560,9111618,11875169,3075556,3797360,1233008,9665673,12597757,12597758,11001766,0453385,9721970,0497527,11538655","Jung Hae-In,Han Ji-min,Jun-han Kim,Yi-An Ha,Won Hee Lee,Seong-Eon Lim,Joo Min-Kyung,Seung-hwan Song,Hae-yeon Kil,Sang Hee Lee,Yoon Seul,Moo-Saeng Lee,Man-Suk Oh,Kim Jeong-yeong,Seo Jung-Yeon,Lee Yoo-jin,Lim Hyun-soo,Chang-Hoon Lee,Kim Chang-wan,Soo-jin Kim,Ji-hyeon Lee,Ahn Se-bin","Drama,Romance",7.9,2019.0,tv series
One Sunny Day,2014–15,10777760,One Sunny Day,kr,"1234414,4548586","So Ji-seob,Kim Ji-Won",Romance,7.6,2014.0,tv series
One the Woman,2021,15007114,One the Woman,kr,"2671586,3718915,5408115,5900682,10291926,11225794,1572247,9532812","Lee Hanee,Sang-yoon Lee,Seo-Yeon Jin,Won-geun Lee,Jeong-hwa Park,Younghoon,Dal-hwan Jo,Do-Yeon Kim","Comedy,Romance",7.9,2021.0,tv series
One Warm Word,2013–14,3381642,One Warm Word,kr,"1626041,1097536,1790874,2233929,5123166,1049304,1092665,1085809,5877763,6124994,3967553,3102257","Hye-jin Han,Jin-hee Ji,Kim Ji-Soo,Sang-woo Lee,Han Groo,Yun Ju-sang,Hye-na Kim,Du-shim Ko,Chae-mi Lee,Seo Jun Park,Jong Hwa Yoon,Joo-Hee Yoon","Drama,Romance",7.0,2013.0,tv series
One Well-Raised Daughter,2013–14,3385708,One Well-Raised Daughter,kr,"1391036,4584545,3818525,6134327,3759049,5586310,0405062,0661845,1066913,0158824,5178418","Han-byeol Park,Tae-gon Lee,Eun-woo Jeong,Se In Yoon,Jae-suk Ha,Joo-Young Kim,Hye-suk Lee,In-hwan Park,Yu-seon Yun,Jae-Sung Choi,Yu-Yi Han",Romance,7.5,2013.0,tv series
